"","currency","event","actual","forecast","previous","impact","DateUTC"
"1575","EUR","German Final Manufacturing PMI","66.2","66.4","66.4","yellow","2021-05-02 23:55:00"
"1576","EUR","Final Manufacturing PMI","62.9","63.3","63.3","yellow","2021-05-03 00:00:00"
"1577","GBP","Bank Holiday","","","","grey","2021-05-03 08:00:00"
"1578","CAD","Manufacturing PMI","57.2","","58.5","yellow","2021-05-03 05:30:00"
"1579","USD","Final Manufacturing PMI","60.5","60.7","60.6","yellow","2021-05-03 05:45:00"
"1580","USD","ISM Manufacturing PMI","60.7","65.0","64.7","orange","2021-05-03 06:00:00"
"1581","USD","Construction Spending m/m","0.2%","1.7%","-0.6%","yellow","2021-05-03 08:00:00"
"1582","USD","ISM Manufacturing Prices","89.6","86.0","85.6","yellow","2021-05-03 08:00:00"
"1583","USD","Wards Total Vehicle Sales","18.5M","17.5M","17.7M","yellow","2021-05-03 08:00:00"
"1584","USD","Loan Officer Survey","","","","yellow","2021-05-03 10:00:00"
"1585","USD","FOMC Member Williams Speaks","","","","yellow","2021-05-03 10:10:00"
"1586","USD","Fed Chair Powell Speaks","","","","red","2021-05-03 10:20:00"
"1587","JPY","Bank Holiday","","","","grey","2021-05-03 08:00:00"
"1588","CNY","Bank Holiday","","","","grey","2021-05-03 08:00:00"
"1589","AUD","Trade Balance","5.57B","8.25B","7.60B","yellow","2021-05-03 17:30:00"
"1590","AUD","RBA Rate Statement","","","","red","2021-05-03 20:30:00"
"1591","AUD","Cash Rate","0.10%","0.10%","0.10%","orange","2021-05-04 08:00:00"
"1592","EUR","French Gov Budget Balance","-60.1B","","-47.5B","yellow","2021-05-03 22:45:00"
"1593","CHF","SECO Consumer Climate","-7","-11","-15","yellow","2021-05-03 23:00:00"
"1594","GBP","Final Manufacturing PMI","60.9","60.7","60.7","yellow","2021-05-04 00:30:00"
"1595","GBP","M4 Money Supply m/m","0.6%","0.7%","0.8%","yellow","2021-05-04 08:00:00"
"1596","GBP","Mortgage Approvals","83K","86K","87K","yellow","2021-05-04 08:00:00"
"1597","GBP","Net Lending to Individuals m/m","11.3B","5.0B","5.3B","yellow","2021-05-04 08:00:00"
"1598","CAD","Building Permits m/m","5.7%","1.6%","3.1%","yellow","2021-05-04 04:30:00"
"1599","CAD","Trade Balance","-1.1B","0.5B","1.4B","yellow","2021-05-04 08:00:00"
"1600","USD","Trade Balance","-74.4B","-74.5B","-70.5B","yellow","2021-05-04 08:00:00"
"1601","USD","IBD/TIPP Economic Optimism","54.4","56.1","56.4","yellow","2021-05-04 05:52:00"
"1602","USD","Factory Orders m/m","1.1%","1.3%","-0.5%","yellow","2021-05-04 06:00:00"
"1603","NZD","GDT Price Index","-0.7%","","-0.1%","yellow","2021-05-04 06:20:00"
"1604","USD","FOMC Member Daly Speaks","","","","yellow","2021-05-04 09:00:00"
"1605","NZD","RBNZ Financial Stability Report","","","","orange","2021-05-04 13:00:00"
"1606","AUD","AIG Construction Index","59.1","","61.8","yellow","2021-05-04 14:30:00"
"1607","NZD","Employment Change q/q","0.6%","0.3%","0.6%","red","2021-05-04 14:45:00"
"1608","NZD","Unemployment Rate","4.7%","4.9%","4.9%","red","2021-05-04 08:00:00"
"1609","NZD","Labor Cost Index q/q","0.4%","0.3%","0.5%","yellow","2021-05-04 08:00:00"
"1610","JPY","Bank Holiday","","","","grey","2021-05-04 08:00:00"
"1611","CNY","Bank Holiday","","","","grey","2021-05-04 08:00:00"
"1612","NZD","ANZ Commodity Prices m/m","2.3%","","6.1%","yellow","2021-05-04 17:00:00"
"1613","AUD","Building Approvals m/m","17.4%","2.9%","20.1%","yellow","2021-05-04 17:30:00"
"1614","CHF","CPI m/m","0.2%","0.2%","0.3%","yellow","2021-05-04 22:30:00"
"1615","EUR","Spanish Unemployment Change","-39.0K","-70.0K","-59.1K","yellow","2021-05-04 23:00:00"
"1616","EUR","Spanish Services PMI","54.6","50.0","48.1","yellow","2021-05-04 23:15:00"
"1617","EUR","Italian Services PMI","47.3","50.0","48.6","yellow","2021-05-04 23:45:00"
"1618","EUR","French Final Services PMI","50.3","50.4","50.4","yellow","2021-05-04 23:50:00"
"1619","EUR","German Final Services PMI","49.9","50.1","50.1","yellow","2021-05-04 23:55:00"
"1620","EUR","Final Services PMI","50.5","50.3","50.3","yellow","2021-05-05 00:00:00"
"1621","EUR","PPI m/m","1.1%","1.1%","0.5%","yellow","2021-05-05 01:00:00"
"1622","GBP","10-y Bond Auction","0.92|2.7","","0.89|3.0","yellow","2021-05-05 01:05:00"
"1623","USD","ADP Non-Farm Employment Change","742K","872K","565K","orange","2021-05-05 04:15:00"
"1624","USD","FOMC Member Evans Speaks","","","","yellow","2021-05-05 05:30:00"
"1625","USD","Final Services PMI","64.7","63.1","63.1","yellow","2021-05-05 05:45:00"
"1626","USD","ISM Services PMI","62.7","64.2","63.7","orange","2021-05-05 06:00:00"
"1627","USD","Crude Oil Inventories","-8.0M","-1.9M","0.1M","orange","2021-05-05 06:30:00"
"1628","USD","FOMC Member Evans Speaks","","","","yellow","2021-05-05 11:00:00"
"1629","NZD","Building Consents m/m","17.9%","","-19.3%","yellow","2021-05-05 14:45:00"
"1630","JPY","Monetary Policy Meeting Minutes","","","","yellow","2021-05-05 15:50:00"
"1631","NZD","Prelim ANZ Business Confidence","7.0","","-2.0","orange","2021-05-05 17:00:00"
"1632","EUR","German Factory Orders m/m","3.0%","1.5%","1.4%","yellow","2021-05-05 22:00:00"
"1633","EUR","ECB Economic Bulletin","","","","yellow","2021-05-06 00:00:00"
"1634","GBP","Final Services PMI","61.0","60.2","60.1","orange","2021-05-06 00:30:00"
"1635","EUR","Spanish 10-y Bond Auction","0.43|1.6","","0.37|1.9","yellow","2021-05-06 00:46:00"
"1636","EUR","French 10-y Bond Auction","0.13|1.7","","0.00|1.7","yellow","2021-05-06 00:59:00"
"1637","AUD","RBA Deputy Gov Debelle Speaks","","","","yellow","2021-05-06 01:00:00"
"1638","EUR","Retail Sales m/m","2.7%","1.5%","4.2%","yellow","2021-05-06 08:00:00"
"1639","GBP","Asset Purchase Facility","875B","875B","875B","red","2021-05-06 03:00:00"
"1640","GBP","BOE Monetary Policy Report","","","","red","2021-05-06 08:00:00"
"1641","GBP","Monetary Policy Summary","","","","red","2021-05-06 08:00:00"
"1642","GBP","MPC Asset Purchase Facility Votes","0-1-8","0-0-9","0-0-9","red","2021-05-06 08:00:00"
"1643","GBP","BOE Inflation Letter","","","","orange","2021-05-06 08:00:00"
"1644","GBP","MPC Official Bank Rate Votes","0-0-9","0-0-9","0-0-9","orange","2021-05-06 08:00:00"
"1645","GBP","Official Bank Rate","0.10%","0.10%","0.10%","orange","2021-05-06 08:00:00"
"1646","EUR","ECB President Lagarde Speaks","","","","orange","2021-05-06 03:15:00"
"1647","USD","Challenger Job Cuts y/y","-96.6%","","-86.2%","yellow","2021-05-06 03:30:00"
"1648","GBP","BOE Gov Bailey Speaks","","","","red","2021-05-06 04:00:00"
"1649","USD","Unemployment Claims","498K","540K","590K","orange","2021-05-06 04:30:00"
"1650","USD","Prelim Nonfarm Productivity q/q","5.4%","4.3%","-4.2%","yellow","2021-05-06 08:00:00"
"1651","USD","Prelim Unit Labor Costs q/q","-0.3%","-1.1%","6.0%","yellow","2021-05-06 08:00:00"
"1652","USD","FOMC Member Williams Speaks","","","","yellow","2021-05-06 05:00:00"
"1653","USD","Natural Gas Storage","60B","68B","15B","yellow","2021-05-06 06:30:00"
"1654","USD","FOMC Member Bostic Speaks","","","","yellow","2021-05-06 09:00:00"
"1655","USD","FOMC Financial Stability Report","","","","yellow","2021-05-06 12:00:00"
"1656","AUD","AIG Services Index","61.0","","58.7","yellow","2021-05-06 14:30:00"
"1657","JPY","Average Cash Earnings y/y","0.2%","-0.2%","-0.4%","yellow","2021-05-06 15:30:00"
"1658","JPY","Monetary Base y/y","24.3%","21.4%","20.8%","yellow","2021-05-06 15:50:00"
"1659","AUD","RBA Monetary Policy Statement","","","","orange","2021-05-06 17:30:00"
"1660","CNY","Caixin Services PMI","56.3","54.2","54.3","yellow","2021-05-06 17:45:00"
"1661","NZD","Inflation Expectations q/q","2.05%","","1.89%","orange","2021-05-06 19:00:00"
"1662","CNY","Trade Balance","277B","130B","88B","yellow","2021-05-06 19:01:00"
"1663","CNY","USD-Denominated Trade Balance","42.9B","28.0B","13.8B","yellow","2021-05-06 19:02:00"
"1664","CHF","Unemployment Rate","3.1%","3.3%","3.3%","yellow","2021-05-06 21:45:00"
"1665","EUR","German Industrial Production m/m","2.5%","2.1%","-1.9%","yellow","2021-05-06 22:00:00"
"1666","EUR","German Trade Balance","14.3B","22.3B","18.9B","yellow","2021-05-07 08:00:00"
"1667","EUR","French Industrial Production m/m","0.8%","2.1%","-4.8%","yellow","2021-05-06 22:45:00"
"1668","EUR","French Prelim Private Payrolls q/q","0.3%","-0.2%","-0.1%","yellow","2021-05-07 08:00:00"
"1669","EUR","French Trade Balance","-6.1B","-5.4B","-5.1B","yellow","2021-05-07 08:00:00"
"1670","CHF","Foreign Currency Reserves","914B","","930B","yellow","2021-05-06 23:00:00"
"1671","EUR","Italian Retail Sales m/m","-0.1%","-0.6%","5.9%","yellow","2021-05-07 00:00:00"
"1672","GBP","Construction PMI","61.6","62.0","61.7","yellow","2021-05-07 00:30:00"
"1673","EUR","ECB President Lagarde Speaks","","","","orange","2021-05-07 02:00:00"
"1674","GBP","MPC Member Broadbent Speaks","","","","orange","2021-05-07 03:15:00"
"1675","CAD","Employment Change","-207.1K","-160.5K","303.1K","red","2021-05-07 04:30:00"
"1676","CAD","Unemployment Rate","8.1%","7.8%","7.5%","red","2021-05-07 08:00:00"
"1677","USD","Average Hourly Earnings m/m","0.7%","0.0%","-0.1%","red","2021-05-07 08:00:00"
"1678","USD","Non-Farm Employment Change","266K","990K","770K","red","2021-05-07 08:00:00"
"1679","USD","Unemployment Rate","6.1%","5.8%","6.0%","red","2021-05-07 08:00:00"
"1680","USD","FOMC Member Barkin Speaks","","","","yellow","2021-05-07 05:00:00"
"1681","CAD","Ivey PMI","60.6","67.0","72.9","orange","2021-05-07 06:00:00"
"1682","USD","Final Wholesale Inventories m/m","1.3%","1.4%","1.4%","yellow","2021-05-07 08:00:00"
"1683","USD","Mortgage Delinquencies","6.38%","","6.73%","yellow","2021-05-07 08:00:00"
"1684","USD","President Biden Speaks","","","","yellow","2021-05-07 07:30:00"
"1685","USD","Treasury Sec Yellen Speaks","","","","red","2021-05-07 08:30:00"
"1686","USD","Consumer Credit m/m","25.8B","19.5B","26.1B","yellow","2021-05-07 11:00:00"
"1687","AUD","NAB Business Confidence","26","","17","yellow","2021-05-09 17:30:00"
"1688","GBP","Halifax HPI m/m","1.4%","0.3%","1.1%","yellow","2021-05-09 23:30:00"
"1689","EUR","Sentix Investor Confidence","21.0","14.9","13.1","yellow","2021-05-10 00:30:00"
"1690","USD","President Biden Speaks","","","","yellow","2021-05-10 09:15:00"
"1691","USD","FOMC Member Evans Speaks","","","","yellow","2021-05-10 10:00:00"
"1692","GBP","BRC Retail Sales Monitor y/y","39.6%","9.3%","20.3%","yellow","2021-05-10 15:01:00"
"1693","JPY","Household Spending y/y","6.2%","1.4%","-6.6%","yellow","2021-05-10 15:30:00"
"1694","JPY","BOJ Summary of Opinions","","","","yellow","2021-05-10 15:50:00"
"1695","CNY","CPI y/y","0.9%","1.0%","0.4%","yellow","2021-05-10 17:30:00"
"1696","CNY","PPI y/y","6.8%","6.5%","4.4%","yellow","2021-05-10 08:00:00"
"1697","JPY","10-y Bond Auction","0.07|3.0","","0.12|3.5","yellow","2021-05-10 19:35:00"
"1698","EUR","German WPI m/m","1.1%","1.8%","1.7%","yellow","2021-05-10 22:00:00"
"1699","EUR","Italian Industrial Production m/m","-0.1%","0.5%","0.1%","yellow","2021-05-11 00:00:00"
"1700","EUR","ZEW Economic Sentiment","84.0","68.0","66.3","yellow","2021-05-11 01:00:00"
"1701","EUR","German ZEW Economic Sentiment","84.4","72.0","70.7","yellow","2021-05-11 08:00:00"
"1702","AUD","Annual Budget Release","","","","orange","2021-05-11 01:30:00"
"1703","USD","NFIB Small Business Index","99.8","100.7","98.2","yellow","2021-05-11 02:00:00"
"1704","USD","JOLTS Job Openings","8.12M","7.50M","7.53M","yellow","2021-05-11 06:00:00"
"1705","GBP","BOE Gov Bailey Speaks","","","","red","2021-05-11 06:30:00"
"1706","USD","FOMC Member Williams Speaks","","","","yellow","2021-05-11 08:00:00"
"1707","USD","FOMC Member Brainard Speaks","","","","yellow","2021-05-11 08:00:00"
"1708","USD","FOMC Member Daly Speaks","","","","yellow","2021-05-11 09:00:00"
"1709","USD","FOMC Member Bostic Speaks","","","","yellow","2021-05-11 09:15:00"
"1710","JPY","Leading Indicators","103.2%","102.8%","98.7%","yellow","2021-05-11 21:00:00"
"1711","EUR","German Final CPI m/m","0.7%","0.7%","0.7%","yellow","2021-05-11 22:00:00"
"1712","GBP","Prelim GDP q/q","-1.5%","-1.6%","1.3%","orange","2021-05-12 08:00:00"
"1713","GBP","Construction Output m/m","5.8%","1.1%","2.3%","yellow","2021-05-12 08:00:00"
"1714","GBP","GDP m/m","2.1%","1.5%","0.7%","yellow","2021-05-12 08:00:00"
"1715","GBP","Goods Trade Balance","-11.7B","-14.2B","-10.5B","yellow","2021-05-12 08:00:00"
"1716","GBP","Index of Services 3m/3m","-2.0%","-1.7%","-2.1%","yellow","2021-05-12 08:00:00"
"1717","GBP","Industrial Production m/m","1.8%","1.0%","1.0%","yellow","2021-05-12 08:00:00"
"1718","GBP","Manufacturing Production m/m","2.1%","1.0%","1.5%","yellow","2021-05-12 08:00:00"
"1719","GBP","Prelim Business Investment q/q","-11.9%","-2.5%","5.9%","yellow","2021-05-12 08:00:00"
"1720","EUR","French Final CPI m/m","0.1%","0.2%","0.2%","yellow","2021-05-11 22:45:00"
"1721","CNY","M2 Money Supply y/y","8.1%","9.2%","9.4%","yellow","2021-05-12 00:30:00"
"1722","CNY","New Loans","1470B","1575B","2730B","yellow","2021-05-12 08:00:00"
"1723","EUR","EU Economic Forecasts","","","","orange","2021-05-12 01:00:00"
"1724","EUR","Industrial Production m/m","0.1%","0.8%","-1.2%","yellow","2021-05-12 08:00:00"
"1725","USD","Core CPI m/m","0.9%","0.3%","0.3%","red","2021-05-12 04:30:00"
"1726","USD","CPI m/m","0.8%","0.2%","0.6%","red","2021-05-12 08:00:00"
"1727","USD","CPI y/y","4.2%","3.6%","2.6%","red","2021-05-12 08:00:00"
"1728","GBP","NIESR GDP Estimate","1.3%","","-1.5%","yellow","2021-05-12 04:46:00"
"1729","USD","FOMC Member Clarida Speaks","","","","yellow","2021-05-12 05:00:00"
"1730","GBP","BOE Gov Bailey Speaks","","","","red","2021-05-12 06:00:00"
"1731","USD","Crude Oil Inventories","-0.4M","-2.1M","-8.0M","orange","2021-05-12 06:30:00"
"1732","USD","FOMC Member Bostic Speaks","","","","yellow","2021-05-12 09:00:00"
"1733","USD","10-y Bond Auction","1.68|2.5","","1.68|2.4","orange","2021-05-12 09:03:00"
"1734","USD","Federal Budget Balance","-225.6B","-212.5B","-659.6B","yellow","2021-05-12 10:00:00"
"1735","NZD","FPI m/m","1.1%","","0.0%","yellow","2021-05-12 14:45:00"
"1736","GBP","RICS House Price Balance","75%","62%","62%","yellow","2021-05-12 15:01:00"
"1737","JPY","Bank Lending y/y","4.8%","6.3%","6.2%","yellow","2021-05-12 15:50:00"
"1738","JPY","Current Account","1.70T","1.87T","1.84T","yellow","2021-05-12 08:00:00"
"1739","JPY","30-y Bond Auction","0.65|3.1","","0.69|3.1","yellow","2021-05-12 19:35:00"
"1740","JPY","Economy Watchers Sentiment","39.1","47.1","49.0","yellow","2021-05-12 21:00:00"
"1741","CHF","Bank Holiday","","","","grey","2021-05-13 08:00:00"
"1742","EUR","French Bank Holiday","","","","grey","2021-05-13 08:00:00"
"1743","EUR","German Bank Holiday","","","","grey","2021-05-13 08:00:00"
"1744","CNY","Foreign Direct Investment ytd/y","38.6%","","39.9%","yellow","2021-05-12 23:55:00"
"1745","GBP","MPC Member Cunliffe Speaks","","","","yellow","2021-05-13 04:00:00"
"1746","USD","Unemployment Claims","473K","487K","507K","orange","2021-05-13 04:30:00"
"1747","USD","Core PPI m/m","0.7%","0.4%","0.7%","yellow","2021-05-13 08:00:00"
"1748","USD","PPI m/m","0.6%","0.3%","1.0%","yellow","2021-05-13 08:00:00"
"1749","USD","FOMC Member Barkin Speaks","","","","yellow","2021-05-13 06:00:00"
"1750","USD","Natural Gas Storage","71B","74B","60B","yellow","2021-05-13 06:30:00"
"1751","CAD","BOC Gov Macklem Speaks","","","","red","2021-05-13 07:00:00"
"1752","GBP","BOE Gov Bailey Speaks","","","","orange","2021-05-13 08:00:00"
"1753","USD","FOMC Member Waller Speaks","","","","yellow","2021-05-13 09:00:00"
"1754","USD","30-y Bond Auction","2.40|2.2","","2.32|2.5","orange","2021-05-13 09:01:00"
"1755","NZD","BusinessNZ Manufacturing Index","58.4","","63.6","yellow","2021-05-13 14:30:00"
"1756","JPY","M2 Money Stock y/y","9.2%","9.4%","9.4%","yellow","2021-05-13 15:50:00"
"1757","EUR","ECB Monetary Policy Meeting Accounts","","","","yellow","2021-05-14 03:30:00"
"1758","CAD","Manufacturing Sales m/m","3.5%","3.5%","-1.1%","yellow","2021-05-14 04:30:00"
"1759","CAD","Wholesale Sales m/m","2.8%","1.0%","-0.9%","yellow","2021-05-14 08:00:00"
"1760","USD","Retail Sales m/m","0.0%","1.0%","10.7%","red","2021-05-14 08:00:00"
"1761","USD","Import Prices m/m","0.7%","0.6%","1.4%","yellow","2021-05-14 08:00:00"
"1762","USD","Core Retail Sales m/m","-0.8%","0.5%","9.0%","red","2021-05-14 04:32:00"
"1763","USD","Industrial Production m/m","0.7%","0.9%","2.4%","orange","2021-05-14 05:15:00"
"1764","USD","Capacity Utilization Rate","74.9%","75.0%","74.4%","yellow","2021-05-14 08:00:00"
"1765","GBP","CB Leading Index m/m","0.1%","","-0.4%","yellow","2021-05-14 05:30:00"
"1766","USD","Prelim UoM Consumer Sentiment","82.8","90.2","88.3","orange","2021-05-14 06:00:00"
"1767","USD","Business Inventories m/m","0.3%","0.3%","0.6%","yellow","2021-05-14 08:00:00"
"1768","USD","Prelim UoM Inflation Expectations","4.6%","","3.4%","yellow","2021-05-14 08:00:00"
"1769","NZD","BusinessNZ Services Index","61.2","","52.9","yellow","2021-05-16 14:30:00"
"1770","NZD","Visitor Arrivals m/m","-12.4%","","-2.8%","yellow","2021-05-16 14:48:00"
"1771","GBP","Rightmove HPI m/m","1.8%","","2.1%","yellow","2021-05-16 15:01:00"
"1772","JPY","PPI y/y","3.6%","3.1%","1.2%","yellow","2021-05-16 15:50:00"
"1773","CNY","Fixed Asset Investment ytd/y","19.9%","19.9%","25.6%","yellow","2021-05-16 18:00:00"
"1774","CNY","Industrial Production y/y","9.8%","10.0%","14.1%","yellow","2021-05-16 08:00:00"
"1775","CNY","Retail Sales y/y","17.7%","25.0%","34.2%","yellow","2021-05-16 08:00:00"
"1776","CNY","Unemployment Rate","5.1%","5.2%","5.3%","yellow","2021-05-16 08:00:00"
"1777","JPY","Prelim Machine Tool Orders y/y","120.8%","","65.1%","yellow","2021-05-16 22:00:00"
"1778","CHF","PPI m/m","0.7%","0.2%","0.6%","yellow","2021-05-16 22:30:00"
"1779","CAD","Housing Starts","269K","305K","335K","yellow","2021-05-17 04:13:00"
"1780","CAD","Foreign Securities Purchases","3.25B","3.25B","8.56B","yellow","2021-05-17 04:30:00"
"1781","USD","Empire State Manufacturing Index","24.3","23.9","26.3","yellow","2021-05-17 08:00:00"
"1782","USD","NAHB Housing Market Index","83","83","83","yellow","2021-05-17 06:00:00"
"1783","USD","FOMC Member Clarida Speaks","","","","yellow","2021-05-17 06:05:00"
"1784","GBP","MPC Member Tenreyro Speaks","","","","yellow","2021-05-17 06:15:00"
"1785","USD","FOMC Member Bostic Speaks","","","","yellow","2021-05-17 06:25:00"
"1786","USD","FOMC Member Clarida Speaks","","","","yellow","2021-05-17 08:00:00"
"1787","GBP","MPC Member Vlieghe Speaks","","","","yellow","2021-05-17 07:30:00"
"1788","GBP","MPC Member Haldane Speaks","","","","yellow","2021-05-17 08:30:00"
"1789","USD","TIC Long-Term Purchases","262.2B","67.0B","4.3B","yellow","2021-05-17 12:00:00"
"1790","JPY","Prelim GDP Price Index y/y","-0.2%","-0.1%","0.3%","yellow","2021-05-17 15:50:00"
"1791","JPY","Prelim GDP q/q","-1.3%","-1.1%","2.8%","yellow","2021-05-17 08:00:00"
"1792","AUD","Monetary Policy Meeting Minutes","","","","orange","2021-05-17 17:30:00"
"1793","JPY","Tertiary Industry Activity m/m","1.1%","0.8%","-0.3%","yellow","2021-05-17 20:30:00"
"1794","GBP","Average Earnings Index 3m/y","4.0%","4.5%","4.5%","yellow","2021-05-17 22:00:00"
"1795","GBP","Claimant Count Change","-15.1K","25.6K","-19.4K","yellow","2021-05-18 08:00:00"
"1796","GBP","Unemployment Rate","4.8%","4.9%","4.9%","yellow","2021-05-18 08:00:00"
"1797","EUR","Italian Trade Balance","5.19B","4.40B","4.75B","yellow","2021-05-18 00:00:00"
"1798","EUR","Flash Employment Change q/q","-0.3%","0.1%","0.4%","yellow","2021-05-18 01:00:00"
"1799","EUR","Flash GDP q/q","-0.6%","-0.6%","-0.6%","yellow","2021-05-18 08:00:00"
"1800","EUR","Trade Balance","13.0B","20.3B","23.1B","yellow","2021-05-18 08:00:00"
"1801","USD","Building Permits","1.76M","1.77M","1.76M","yellow","2021-05-18 04:30:00"
"1802","USD","Housing Starts","1.57M","1.71M","1.73M","yellow","2021-05-18 08:00:00"
"1803","GBP","BOE Gov Bailey Speaks","","","","red","2021-05-18 06:00:00"
"1804","NZD","GDT Price Index","-0.2%","","-0.7%","yellow","2021-05-18 06:27:00"
"1805","AUD","CB Leading Index m/m","1.0%","","0.5%","yellow","2021-05-18 06:30:00"
"1806","CHF","SNB Chairman Jordan Speaks","","","","orange","2021-05-18 07:00:00"
"1807","USD","FOMC Member Bostic Speaks","","","","yellow","2021-05-18 08:30:00"
"1808","NZD","PPI Input q/q","2.1%","0.1%","0.1%","yellow","2021-05-18 14:45:00"
"1809","NZD","PPI Output q/q","1.2%","0.2%","0.5%","yellow","2021-05-18 08:00:00"
